* ******************************************************************************

* iCEcube Pin Table

* Version:            2020.12.27943

* Build Date:         Dec  9 2020 17:31:51

* File Generated:     Oct 13 2021 17:22:39

* Purpose:            Detailed IO and package pin info

* Copyright (C) 2006-2010 by Lattice Semiconductor Corp. All rights reserved.

* ******************************************************************************

Device, iCE40HX4K
Package, TQ144

Pin Number, Pin Type Name, Signal Name, Direction, Global Buffer, IO Standard, Pull Up, IO Function, IO Bank, 
---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, 
1, PIO, VAC_OSR0, Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
2, PIO, VAC_OSR1, Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
3, PIO, VAC_FLT0, Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
4, PIO, VAC_FLT1, Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
5, GND, not used, , , , , , UnknownBank
6, VCCIO_3, not used, , , , , , leftBank
7, PIO, ICE_IOL_4A,  , , SB_LVCMOS, Pull Up, , leftBank
8, PIO, ICE_IOL_4B,  , , SB_LVCMOS, Pull Up, , leftBank
9, PIO, VAC_CLK, Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
10, PIO, VAC_CS, Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
11, PIO, VAC_SCLK, Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
12, PIO, VAC_MOSI, Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
13, GND, not used, , , , , , UnknownBank
14, GND, not used, , , , , , UnknownBank
15, PIO, VAC_MISO, Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
16, PIO, VAC_DRDY, Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
17, PIO, ICE_IOL_12A,  , , SB_LVCMOS, Pull Up, , leftBank
18, PIO, ICE_IOL_12B,  , , SB_LVCMOS, Pull Up, , leftBank
19, PIO, ICE_IOL_13A,  , , SB_LVCMOS, Pull Up, , leftBank
20, PIO_GBIN, ICE_IOL_13B,  , , SB_LVCMOS, Pull Up, , leftBank
21, PIO_GBIN, ICE_IOL_14A,  , , SB_LVCMOS, Pull Up, , leftBank
22, PIO, VDC_SDO, Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
23, PIO, VDC_SCLK, Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
24, PIO, VDC_CLK, Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
25, PIO, VDC_RNG0, Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
26, PIO, ICE_IOL_18B,  , , SB_LVCMOS, Pull Up, , leftBank
27, VCC, not used, , , , , , UnknownBank
28, PIO, AMPV_POW, Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
29, PIO, RTD_DRDY, Input, , SB_LVCMOS, Pull Up, Simple Input, leftBank
30, VCCIO_3, not used, , , , , , leftBank
31, PIO, RTD_SDI, Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
32, PIO, RTD_SCLK, Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
33, PIO, RTD_CS, Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
34, PIO, RTD_SDO, Input, , SB_LVCMOS, Pull Up, Simple Input, leftBank
37, PIO, ICE_SYSCLK, Input, , SB_LVCMOS, Pull Up, Simple Input, bottomBank
38, PIO, TEST_LED, Output, , SB_LVCMOS, No Pull Up, Simple Output, bottomBank
39, PIO, DDS_MCLK1, Output, , SB_LVCMOS, No Pull Up, Simple Output, bottomBank
40, VCC, not used, , , , , , UnknownBank
41, PIO, DDS_CS1, Output, , SB_LVCMOS, No Pull Up, Simple Output, bottomBank
42, PIO, DDS_SCK1, Output, , SB_LVCMOS, No Pull Up, Simple Output, bottomBank
43, PIO, DDS_MOSI1, Output, , SB_LVCMOS, No Pull Up, Simple Output, bottomBank
44, PIO, THERMOSTAT, Input, , SB_LVCMOS, Pull Up, Simple Input, bottomBank
45, PIO, STAT_COMM, Output, , SB_LVCMOS, No Pull Up, Simple Output, bottomBank
46, VCCIO_2, not used, , , , , , bottomBank
47, PIO, EIS_SYNCCLK, Input, , SB_LVCMOS, Pull Up, Simple Input, bottomBank
48, PIO, ICE_IOB_80,  , , SB_LVCMOS, Pull Up, , bottomBank
49, PIO_GBIN, ICE_IOB_81,  , , SB_LVCMOS, No Pull Up, , bottomBank
52, PIO_GBIN, ICE_IOB_82,  , , SB_LVCMOS, No Pull Up, , bottomBank
53, AGND_BOT, not used, , , , , , UnknownBank
54, AVDD_BOT, not used, , , , , , UnknownBank
55, PIO, ICE_IOB_91,  , , SB_LVCMOS, Pull Up, , bottomBank
56, PIO, ICE_IOB_94,  , , SB_LVCMOS, Pull Up, , bottomBank
57, VCCIO_2, not used, , , , , , bottomBank
59, GND, not used, , , , , , UnknownBank
60, PIO, ICE_IOB_95,  , , SB_LVCMOS, Pull Up, , bottomBank
61, PIO, ICE_IOB_96,  , , SB_LVCMOS, Pull Up, , bottomBank
62, PIO, ICE_IOB_102,  , , SB_LVCMOS, Pull Up, , bottomBank
63, PIO, ICE_IOB_103,  , , SB_LVCMOS, No Pull Up, , bottomBank
64, PIO, ICE_IOB_104,  , , SB_LVCMOS, No Pull Up, , bottomBank
65, CDONE, not used, , , , , , bottomBank
66, CRESET_B, not used, , , , , , bottomBank
67, SPI_SO, not used, , , , , , bottomBank
68, SPI_SI, not used, , , , , , bottomBank
69, GND, not used, , , , , , UnknownBank
70, SPI_SCK, not used, , , , , , bottomBank
71, SPI_SS_B, not used, , , , , , bottomBank
72, VDDIO_SPI, not used, , , , , , bottomBank
73, PIO, ICE_SPI_SCLK, Input, , SB_LVCMOS, Pull Up, Simple Input, rightBank
74, PIO, ICE_SPI_MOSI, Input, , SB_LVCMOS, Pull Up, Simple Input, rightBank
75, PIO, ICE_SPI_MISO, Output, , SB_LVCMOS, No Pull Up, Simple Output, rightBank
76, PIO, ICE_SPI_CE0, Input, , SB_LVCMOS, Pull Up, Simple Input, rightBank
77, TRST_B, not used, , , , , , rightBank
78, PIO, ICE_GPMO_0,  , , SB_LVCMOS, Pull Up, , rightBank
79, PIO, ICE_GPMO_1,  , , SB_LVCMOS, Pull Up, , rightBank
80, PIO, ICE_GPMO_2, Input, , SB_LVCMOS, Pull Up, Simple Input, rightBank
81, PIO, ICE_GPMI_0, Output, , SB_LVCMOS, No Pull Up, Simple Output, rightBank
82, PIO, ICE_IOR_118,  , , SB_LVCMOS, Pull Up, , rightBank
83, PIO, ICE_IOR_119,  , , SB_LVCMOS, Pull Up, , rightBank
84, PIO, ICE_IOR_120,  , , SB_LVCMOS, Pull Up, , rightBank
85, PIO, ICE_IOR_128,  , , SB_LVCMOS, Pull Up, , rightBank
86, GND, not used, , , , , , UnknownBank
87, PIO, ICE_IOR_136,  , , SB_LVCMOS, Pull Up, , rightBank
88, PIO, ICE_IOR_137,  , , SB_LVCMOS, Pull Up, , rightBank
89, VCCIO_1, not used, , , , , , rightBank
90, PIO, ICE_IOR_138,  , , SB_LVCMOS, Pull Up, , rightBank
91, PIO, ICE_IOR_139,  , , SB_LVCMOS, Pull Up, , rightBank
92, VCC, not used, , , , , , UnknownBank
93, PIO_GBIN, ICE_IOR_140,  , , SB_LVCMOS, Pull Up, , rightBank
94, PIO_GBIN, ICE_IOR_141,  , , SB_LVCMOS, Pull Up, , rightBank
95, PIO, ICE_IOR_144,  , , SB_LVCMOS, Pull Up, , rightBank
96, PIO, ICE_IOR_146,  , , SB_LVCMOS, Pull Up, , rightBank
97, PIO, ICE_IOR_147,  , , SB_LVCMOS, Pull Up, , rightBank
98, PIO, ICE_IOR_148,  , , SB_LVCMOS, Pull Up, , rightBank
99, PIO, ICE_IOR_152,  , , SB_LVCMOS, Pull Up, , rightBank
100, VCCIO_1, not used, , , , , , rightBank
101, PIO, ICE_IOR_160,  , , SB_LVCMOS, Pull Up, , rightBank
102, PIO, ICE_IOR_161,  , , SB_LVCMOS, Pull Up, , rightBank
103, GND, not used, , , , , , UnknownBank
104, PIO, ICE_IOR_164,  , , SB_LVCMOS, Pull Up, , rightBank
105, PIO, ICE_IOR_165,  , , SB_LVCMOS, Pull Up, , rightBank
106, PIO, ICE_IOR_166,  , , SB_LVCMOS, Pull Up, , rightBank
107, PIO, ICE_IOR_167,  , , SB_LVCMOS, Pull Up, , rightBank
108, VPP_PUMP, not used, , , , , , UnknownBank
109, VPP_DIRECT, not used, , , , , , UnknownBank
110, PIO, DDS_CS, Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
111, VCC, not used, , , , , , UnknownBank
112, PIO, DDS_SCK, Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
113, PIO, DDS_MOSI, Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
114, PIO, DDS_MCLK, Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
115, PIO, DDS_RNG_0, Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
116, PIO, ICE_IOT_173,  , , SB_LVCMOS, Pull Up, , topBank
117, PIO, ICE_IOT_174,  , , SB_LVCMOS, Pull Up, , topBank
118, PIO, ICE_IOT_177,  , , SB_LVCMOS, Pull Up, , topBank
119, PIO, ICE_IOT_178,  , , SB_LVCMOS, Pull Up, , topBank
120, PIO, CONT_SD, Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
121, PIO, SELIRNG0, Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
122, PIO, SELIRNG1, Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
123, VCCIO_0, not used, , , , , , topBank
124, PIO, IAC_OSR0, Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
125, PIO, IAC_OSR1, Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
126, AVDD_TOP, not used, , , , , , UnknownBank
127, AGND_TOP, not used, , , , , , UnknownBank
