[SIF Board]
Serial number : IF0000Z11531
Board version : 1.1.0.0
Firmware version : 4.1.2.1

[ZIM Board]
Serial number : IM2000011470
Board version : 1.7.0.0
Firmware version : 4.0.0.2

[Parameters]
Current Range(A) : 2A
Initial Frequency(Hz) : 10.000
Final Frequency(Hz) : 0.100
Density(pts/decade) : 1
Iteration : 1
Initial Delay Time(s) : 12.0
Skip Cycle : 1
Started : 2022-04-26 17:09:57
[OCV]
Value : 0.007V





[Data]
Pt,Time (s),Freq (Hz),Zreal (Ω),Zimag (Ω),Zmod (Ω),Zphase (°),Idc (A),Vdc (V),Temp (°C),IRange (A),
1,1.951,9.99961,0.00998609,5.8081E-06,0.00998609,0.033,-1,-0.003,0.0,2,
2,7.583,0.999775,0.00998639,-2.3987E-05,0.00998642,-0.138,-1,-0.002,0.0,2,
3,39.650,0.0996515,0.0100572,-0.000216846,0.0100596,-1.235,-1,-0.005,0.0,2,
