[SIF Board]
Serial number : IF0000Z11531
Board version : 1.1.0.0
Firmware version : 4.1.2.1

[ZIM Board]
Serial number : IM2000011470
Board version : 1.7.0.0
Firmware version : 4.0.0.2

[Parameters]
Current Range(A) : 2mA
Initial Frequency(Hz) : 10.000
Final Frequency(Hz) : 0.100
Density(pts/decade) : 1
Iteration : 1
Initial Delay Time(s) : 12.0
Skip Cycle : 1
Started : 2022-04-26 17:01:50
[OCV]
Value : 0.006V





[Data]
Pt,Time (s),Freq (Hz),Zreal (Ω),Zimag (Ω),Zmod (Ω),Zphase (°),Idc (A),Vdc (V),Temp (°C),IRange (A),
1,1.951,9.99961,9.99959,-0.00220516,9.99959,-0.013,-0.001,-0.003,0.0,0.002,
2,7.583,0.999775,10.0004,-0.000299351,10.0004,-0.002,-0.001,-0.002,0.0,0.002,
3,39.650,0.0996515,9.99915,0.00274856,9.99915,0.016,-0.001,-0.003,0.0,0.002,
