
Serial number : IM1021060036  Range : 2A

Pt,Time (s),Freq (Hz),Zreal (Ω),Zimag (Ω),Zmod (Ω),Zphase (°),Idc (A),Vdc (V),Temp (°C),IRange (A),
1,1.951,9.99961,0.00998789,2.10668E-05,0.00998791,0.121,-1,-0.007,0.0,2,
2,7.584,0.999775,0.00998784,-1.90531E-05,0.00998786,-0.109,-1,-0.006,0.0,2,
3,39.652,0.0996515,0.0100438,-0.00017973,0.0100454,-1.025,-1,-0.007,0.0,2,


Serial number : IM1021060036  Range : 200mA

Pt,Time (s),Freq (Hz),Zreal (Ω),Zimag (Ω),Zmod (Ω),Zphase (°),Idc (A),Vdc (V),Temp (°C),IRange (A),
1,1.951,9.99961,0.0999409,1.12303E-05,0.099941,0.006,-0.1,-0.007,0.0,0.2,
2,7.584,0.999775,0.0999557,-2.59669E-05,0.0999557,-0.015,-0.1,-0.005,0.0,0.2,
3,39.652,0.0996515,0.0999978,-0.000142107,0.0999979,-0.081,-0.1,-0.015,0.0,0.2,


Serial number : IM1021060036  Range : 20mA

Pt,Time (s),Freq (Hz),Zreal (Ω),Zimag (Ω),Zmod (Ω),Zphase (°),Idc (A),Vdc (V),Temp (°C),IRange (A),
1,1.951,9.99961,0.997926,-0.000106353,0.997926,-0.006,-0.01,-0.007,0.0,0.02,
2,7.583,0.999775,0.998037,-3.74705E-05,0.998037,-0.002,-0.01,-0.007,0.0,0.02,
3,39.651,0.0996515,0.998008,0.000116119,0.998008,0.007,-0.01,-0.017,0.0,0.02,


Serial number : IM1021060036  Range : 2mA

Pt,Time (s),Freq (Hz),Zreal (Ω),Zimag (Ω),Zmod (Ω),Zphase (°),Idc (A),Vdc (V),Temp (°C),IRange (A),
1,1.951,9.99961,9.99496,-0.001276,9.99496,-0.007,-0.001,-0.007,0.0,0.002,
2,7.583,0.999775,9.99671,0.00114123,9.99671,0.007,-0.001,-0.005,0.0,0.002,
3,39.651,0.0996515,9.99616,0.00281516,9.99616,0.016,-0.001,-0.011,0.0,0.002,

