
Serial number : IM1021060035  Range : 2A

Pt,Time (s),Freq (Hz),Zreal (Ω),Zimag (Ω),Zmod (Ω),Zphase (°),Idc (A),Vdc (V),Temp (°C),IRange (A),
1,1.951,9.99961,0.00998547,1.38941E-05,0.00998548,0.080,-1,-0.006,0.0,2,
2,7.582,0.999775,0.00998812,-1.93804E-05,0.00998814,-0.111,-1,-0.006,0.0,2,
3,39.648,0.0996515,0.0100488,-0.000201316,0.0100508,-1.148,-1,-0.004,0.0,2,


Serial number : IM1021060035  Range : 200mA

Pt,Time (s),Freq (Hz),Zreal (Ω),Zimag (Ω),Zmod (Ω),Zphase (°),Idc (A),Vdc (V),Temp (°C),IRange (A),
1,1.951,9.99961,0.0999451,1.90767E-05,0.0999451,0.011,-0.1,-0.006,0.0,0.2,
2,7.583,0.999775,0.0999556,-2.19742E-05,0.0999556,-0.013,-0.1,-0.006,0.0,0.2,
3,39.649,0.0996515,0.100014,-0.000165351,0.100014,-0.095,-0.1,-0.016,0.0,0.2,


Serial number : IM1021060035  Range : 20mA

Pt,Time (s),Freq (Hz),Zreal (Ω),Zimag (Ω),Zmod (Ω),Zphase (°),Idc (A),Vdc (V),Temp (°C),IRange (A),
1,1.951,9.99961,0.997809,9.24558E-05,0.997809,0.005,-0.01,-0.006,0.0,0.02,
2,7.582,0.999775,0.998025,2.72815E-05,0.998025,0.002,-0.01,-0.009,0.0,0.02,
3,39.648,0.0996515,0.997926,0.000104946,0.997926,0.006,-0.01,-0.014,0.0,0.02,


Serial number : IM1021060035  Range : 2mA

Pt,Time (s),Freq (Hz),Zreal (Ω),Zimag (Ω),Zmod (Ω),Zphase (°),Idc (A),Vdc (V),Temp (°C),IRange (A),
1,1.951,9.99961,9.99648,0.000104915,9.99648,0.001,-0.001,-0.006,0.0,0.002,
2,7.582,0.999775,9.99742,0.00034387,9.99742,0.002,-0.001,-0.004,0.0,0.002,
3,39.648,0.0996515,9.99631,0.00165741,9.99631,0.009,-0.001,-0.004,0.0,0.002,

