
Serial number : IM1021060034  Range : 2A

Pt,Time (s),Freq (Hz),Zreal (Ω),Zimag (Ω),Zmod (Ω),Zphase (°),Idc (A),Vdc (V),Temp (°C),IRange (A),
1,1.951,9.99961,0.00999097,1.80296E-05,0.00999098,0.103,-1,-0.006,0.0,2,
2,7.584,0.999775,0.00998631,4.88741E-06,0.00998631,0.028,-1,-0.005,0.0,2,
3,39.651,0.0996515,0.00998202,1.06426E-05,0.00998202,0.061,-1,0.002,0.0,2,


Serial number : IM1021060034  Range : 200mA

Pt,Time (s),Freq (Hz),Zreal (Ω),Zimag (Ω),Zmod (Ω),Zphase (°),Idc (A),Vdc (V),Temp (°C),IRange (A),
1,1.951,9.99961,0.0999439,1.77331E-05,0.0999439,0.010,-0.1,-0.007,0.0,0.2,
2,7.583,0.999775,0.0999567,3.0735E-06,0.0999567,0.002,-0.1,-0.006,0.0,0.2,
3,39.651,0.0996515,0.099942,1.45251E-05,0.099942,0.008,-0.1,-0.009,0.0,0.2,


Serial number : IM1021060034  Range : 20mA

Pt,Time (s),Freq (Hz),Zreal (Ω),Zimag (Ω),Zmod (Ω),Zphase (°),Idc (A),Vdc (V),Temp (°C),IRange (A),
1,1.951,9.99961,0.997964,-7.2341E-05,0.997964,-0.004,-0.01,-0.007,0.0,0.02,
2,7.584,0.999775,0.997906,-7.74353E-05,0.997906,-0.004,-0.01,-0.005,0.0,0.02,
3,39.652,0.0996515,0.997947,5.24481E-05,0.997947,0.003,-0.01,-0.008,0.0,0.02,


Serial number : IM1021060034  Range : 2mA

Pt,Time (s),Freq (Hz),Zreal (Ω),Zimag (Ω),Zmod (Ω),Zphase (°),Idc (A),Vdc (V),Temp (°C),IRange (A),
1,1.951,9.99961,9.99652,-0.00231129,9.99652,-0.013,-0.001,-0.007,0.0,0.002,
2,7.583,0.999775,9.99655,-0.00139399,9.99655,-0.008,-0.001,-0.010,0.0,0.002,
3,39.651,0.0996515,9.99604,0.00135273,9.99604,0.008,-0.001,-0.004,0.0,0.002,

